Reporting ID,Data Year,MapLot,BEUDO Category,Primary Property Type - Self Selected,All Property Uses,Property GFA - Self Reported (ft2),Reported Residential Units,Owner,Owner Line 2,ENERGY STAR Score,Electricity Use - Grid Purchase (kWh),Electricity Use - Grid Purchase (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),Kerosene Use (kBtu),District Chilled Water Use (kBtu),District Steam Use (kBtu),Electricity Use - Generated From Onsite Renewable Systems (kWh),Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Source EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),Total GHG Emissions Intensity (kgCO2e/ft2)
B1678,2021,169-79,Non-Residential,Worship Facility,Worship Facility (31377.0),31377,,FIRST PARISH UNITARIAN CHURCH,WILLIAM MORSE COLE,,114521.6,390747.6,,,,,,,,,,,,,,,,,,,,,
B1681,2021,43-76,Non-Residential,Laboratory,"Laboratory,Office,Other,Other - Technology/Science",373871,,"THE BROAD INSTITUTE, INC",,,12179958.9,41558024.9,708418,70841803.8,,,,,,,,,,112399828.7,114887227.2,300.6,307.3,190746363.6,191000297.8,510.2,510.9,6707.2,17.9
B1683,2021,267.4-264,Non-Residential,College/University,College/University (37086.0),37086,,"ART ROCKS LLC,",C/O BAY MANAGEMENT CORP.,,113322.7,386657.1,,,,1874909.4,,,,,,,,2261566.6,2261566.6,61,61,2976298.5,2976298.5,80.3,80.3,166.5,4.5
B1684,2021,30-35,Non-Residential,Laboratory,Laboratory (67362.0),67362,,"BARRETT, DAVID, EDWARD L. LINDE,",C/O BOSTON PROPERTIES,,8109231.2,27668700.2,10,1000,,,,,,,,20875696.6,,48545396.8,47922138.2,720.7,711.4,102587731.5,100842607.2,1522.9,1497,4538.4,67.4
B1685,2021,29-34,Non-Residential,Multifamily Housing,"Multifamily Housing (324872.0),Swimming Pool (0.0),Parking (114253.0)",324872,193,303 THIRD SPE LLC,,64,2551948.7,8707250.1,120144,12014400.6,,,,,,,,,,20721650.7,21205134.3,63.8,65.3,36995420.9,36927570.6,113.9,113.7,1255.1,3.9
B1686,2021,91-70,Non-Residential,Hotel,"Hotel,Restaurant,Retail Store",36958,,SEAN CASEY LLC.,,,,,,,,,,,,,,,,,,,,,,,,,
B1687,2021,29-34,Non-Residential,Multifamily Housing,"Restaurant (3075.0),Multifamily Housing (421450.0),Parking (109603.0)",424525,292,303 THIRD SPE LLC,,85,2555581.5,8719645.1,136157,13615699.7,,,,,22649.9,,,,,22357994.7,23397727.3,52.7,55.1,38734367.5,39826086.6,91.2,93.8,1342.7,3.2
B1688,2021,48-158,Non-Residential,Hotel,"Hotel (34388.0),Parking (8000.0)",34388,,"FIREHOUSE INN, LLC",,76,469095.8,1600554.9,18161.4,1816137.6,,,,,,,,,,3416692.5,3580509.4,99.4,104.1,6388498.3,6560506,185.8,190.8,209.9,6.1
B1689,2021,170-39,Non-Residential,Hotel,Hotel (134200.0),134200,,"BERGOULIAN, MARY A.,",,100,241501.2,824002.1,40130.6,4013061.2,,,,,,,,,,4837063.3,4837063.3,36,36,6520920.1,6520920.1,48.6,48.6,271.5,2
B1694,2021,226-59,Non-Residential,K-12 School,K-12 School,,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,62,155673.5,531158.2,12386.4195,1238642,,,,,,,,,,1769800.1,1925080,60.4,65.7,2787816.9,2950860.8,95.1,100.7,100.7,3.4
B1695,2021,267.4-305,Non-Residential,Laboratory,"Office (135572.0),Laboratory (N/A)",135572,,PPF OFF 100 CAMBRIDGEPARK DR LLC,MORGAN STANLEY REAL ESTATE ADVISOR INC,37,2641730.1,9013584,,,,,,,,,,,,9013584,9013584,66.5,66.5,25238035.3,25238035.3,186.2,186.2,651.8,4.7
B1696,2021,242B-56,Non-Residential,K-12 School,K-12 School (3825.0),3825,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,73,16403.2,55967.6,1531.1,153107.7,,,,,,,,,,209075.3,229857.8,54.7,60.1,317472.3,344769.1,83,90.1,12.2,3.2
B1697,2021,30-41,Non-Residential,Office,Office (204215.0),204215,,BP SEVENTEEN CAMBRIDGE CENTER LLC.,"C/O BOSTON PROPERTIES, INC.",80,1755352.7,5989264.1,,,,,,,,,,8780390.4,,14769654.6,15030823.9,72.3,73.6,27333110.1,27647307.5,133.8,135.4,1016.1,5
B1698,2021,267.4-288,Non-Residential,Office,"Office (N/A),Parking (61902.0)",184935,,"PPF OFF 125 CAMBRIDE PARK DR, LLC",,55,2978211.4,10161658.4,54370.8,5437076.8,,,,,,,,,,15598735.3,16201758,84.3,87.6,34161574.3,34568063.6,184.7,186.9,1023.6,5.5
B1699,2021,242B-56,Non-Residential,K-12 School,K-12 School (1595.0),1595,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,95,894.2,3050.9,700,70003.2,,,,,,,,,,73054.2,82167.3,45.8,51.5,82046,91614.8,51.4,57.4,3.9,2.5
B1700,2021,267.4-319,Non-Residential,Office,"Office (N/A),Data Center (2196.0),Laboratory (N/A)",247548,,"PPF OFF 150 CAMBRIDGE PARK DR, LLC",,34,5610229.8,19142106.6,53612.2,5361222.9,,,,,,,,,,24503329.5,25169813.7,99,101.7,59227182.5,59926990.8,239.3,242.1,1669,6.6
B1702,2021,81-103,Non-Residential,Office,Office (102807.0),102807,,CAMBRIDE BUSINESS CENTER,,77,1180391.4,4027496,19796.2,1979616.1,,,,,,,,,,6007112.1,6083152.7,58.4,59.2,13355585.6,13165460.6,129.9,128.1,390.5,3.8
B1703,2021,168-21,Non-Residential,Office,"Office (20353.0),Retail Store (7094.0)",27447,,"119 MOUNT AUBURN STREET LLC,",C/O UPLAND CAPITAL CORPORATION,,294043,1003274.8,12733,1273300,,,,,,,,,,2276574.8,2432909.2,82.9,88.6,4146134.4,4310285.5,151.1,157,138.7,5.1
B1704,2021,242B-56,Non-Residential,Fitness Center/Health Club/Gym,Fitness Center/Health Club/Gym (60000.0),60000,,BUCKINGHAM BROWNE AND NICHOLS SCHOOL,,,684646.3,2336013.4,45832.5,4583250.5,,,,,,,,,,6919263.9,7548602.8,115.3,125.8,11353250.5,12014056.3,189.2,200.2,412.4,6.9
B1705,2021,185-59,Non-Residential,Worship Facility,Worship Facility,48125,,"ECOLE BILINGUE, INC. &",,73,84727.6,289090.6,10541.3,1054125.7,,,,,,,,,,1343216.3,1482954.7,27.9,30.8,1916285.7,2063011,39.8,42.9,74.8,1.6
B1708,2021,267.4-313,Non-Residential,Office,Office (221676.0),221676,,"PPF OFF 200 CAMBRIDGE PARK DRIVE, LLC",C/O MORGAN STANLEY REAL ESTATE ADVISOR,1,5781599.2,19726818.9,502922.8,50292280.3,,,,,,,,,,70019099.1,72786762.6,315.9,328.3,108041987.1,110948033.7,487.4,500.5,4068.9,18.4
B1709,2021,267.4-209,Non-Residential,Mixed Use Property,"Parking (74000.0),Other (35617.0)",35617,,"BELAM REALTY LLC,",,,73438,250570.5,21201,2120099.9,,,,,,,,,,2370670.4,2667551.8,66.6,74.9,2927702.2,3263453.3,82.2,91.6,140,3.9
B1712,2021,267C-95,Non-Residential,Mixed Use Property,Other (53000.0),53000,,CCF SMITH PLACE PROPERTY COMPANY LLC,,,105748.2,360813,15814,1581400.2,,,,,,,,,,1942213.2,2162049.9,36.6,40.8,2670746.7,2901575.2,50.4,54.7,109.6,2.1
B1714,2021,129-58,Non-Residential,Office,Office (129430.0),129430,,RIVERTECH ASSOCIATES LLC,C/O ABBEY GROUP,1,6502702.4,22187223.4,109607.2,10960719.4,,,,,,,,,,33147942.8,34256160.3,256.1,264.7,73632980.8,74796609.3,568.9,577.9,2154.2,16.6
B1715,2021,133-23,Non-Residential,Office,Office (63198.0),63198,,"DOWSE, GRANTON H., JR.,",IRENE A. M. DOWSE & LEONARD,94,271504,926371.7,14959.6,1495958.9,,,,,,,,,,2422330.6,2593980.9,38.3,41,4164597.5,4300361.6,65.9,68,146.4,2.3
B1716,2021,267.3-228,Non-Residential,Mixed Use Property,"Parking (4000.0),Other (57521.0)",57521,,"CCF ASVRF 127 SMITH, LLC","C/O CABOT, CABOT & FORBES",,218574,745774.5,3505,350500,,1106787.6,,,,,,,,2203062.1,2405969.3,38.3,41.8,3574049.2,3780981.9,62.1,65.7,153.6,2.7
B1718,2021,267D-305,Non-Residential,Office,"Office (28631.0),Laboratory (15417.0)",44048,,"CPI/KING 733 CONCORD OWNER, LLC",,,1870619.7,6382555.4,52291,5229100.2,,,,,,,,,,11611655.6,11753211.6,263.6,266.8,23361710.3,22996836.5,530.4,522.1,730,16.6
B1719,2021,261-167,Non-Residential,Non-Refrigerated Warehouse,"Office (5200.0),Non-Refrigerated Warehouse (55000.0)",60200,,"LYMAN, JAMES M., REINIER BEEUWKES JR.,",,65,150766.8,514416.3,14448.1,1444814.2,,,,,,,,,,1959230.5,2194888.6,32.5,36.5,2957420.6,3195377.5,49.1,53.1,113.2,1.9
B1720,2021,90-95,Non-Residential,Worship Facility,Worship Facility (2000.0),2000,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,,1,122459.7,417832.4,11189.2,1118919.1,,,,,,,,,,1536751.5,1689609.1,768.4,844.8,2344795.9,2505296.3,1172.4,1252.6,89,44.5
B1721,2021,121-2,Non-Residential,Office,"Personal Services (Health/Beauty, Dry Cleaning, etc) (7518.0),Office (65980.0)",73498,,"1050 MASS AVE INVESTMENT, INC.",C/O LINCOLN PROPERTY CO,59,910799.9,3107649.5,19349.1,1934909.7,,,,,,,,,,5042559.2,5162344.2,68.6,70.2,10733073.9,10617896.8,146,144.5,323,4.4
B1722,2021,203A-73,Non-Residential,Mixed Use Property,"Office (15000.0),Other (32000.0)",47000,,"BOLTON STREET PARTNERS, LLC.",,,514879.9,1756770.6,41043,4104299.9,,,,,,,,,,5861070.4,5773582.9,124.7,122.8,9228472.4,8983507.3,196.4,191.1,342.5,7.3
B1723,2021,129-11,Non-Residential,Laboratory,"Office (21758.0),Laboratory (57123.0),Parking (20000.0)",78881,,"CPI/BRICKMAN BSS OWNER, LLC",,,2129156.8,7264683.8,29587.2,2958724.6,,,,,,,,,,10223408.4,10639414.3,129.6,134.9,23447775.5,23884581.7,297.3,302.8,682.5,8.7
B1728,2021,152-51,Non-Residential,College/University,"College/University, Restaurant, Retail Store",231590,,LESLEY COLLEGE,,,2583500.7,8814905.4,74699.5158,7469951.6,,,,,,,,,,16284857,16944455,70.3,73.2,32525184.2,33217762.1,140.4,143.4,975.4,4.2
B1732,2021,252-160,Non-Residential,Office,"Office (108561.0),Medical Office (28860.0),Parking (91632.0)",137421,,"NC-P MOUNT AUBURN, LLC",,62,2681879.6,9150574.2,834.8,83484.9,,,,,,,,,,9234059.1,9234059.1,67.2,67.2,25709267,25709267,187.1,187.1,652.8,4.8
B1734,2021,105-74,Non-Residential,Office,Office (33500.0),33500,,678 MASS AVE. LLC,,51,395218.9,1348487.2,12795,1279500,,,,,,,,,,2627987.2,2780805.2,78.4,83,5119239.2,5201793.7,152.8,155.3,163.5,4.9
B1736,2021,73-124,Non-Residential,Multifamily Housing,Multifamily Housing (200075.0),200075,175,CAMBRIDGE HOUSING AUTHORITY,,66,1130932.9,3858743.4,108017,10801699.6,,,,,,,,,106941,15025325.8,15871345.8,75.1,79.3,22511149,23400240.7,112.5,117,873,4.4
B1739,2021,Sep-41,Non-Residential,Office,"Office (135710.0),Parking (11155.0)",135710,,"TEN CANAL PK MASSACHUSETTS, LLC,","C/O US REAL ESTATE INVEST FUND, LLC",76,1729345.8,5900528.7,,,,,,,,,,,,5900528.7,5900528.7,43.5,43.5,16521480.2,16521480.2,121.7,121.7,418.1,3.1
B1742,2021,267.3-226,Non-Residential,Manufacturing/Industrial Plant,"Manufacturing/Industrial Plant (34570.0),Parking (4500.0)",34570,,"CCF ASVRF 13 MOONEY, LLC","C/O CABOT, CABOT & FORBES",,158304,540133.2,14111,1411099.9,,,,,,,,,,1951233.1,2124798,56.4,61.5,2994028,3130138.1,86.6,90.5,114,3.3
B1743,2021,122-184,Non-Residential,Multifamily Housing,Multifamily Housing (126002.0),126002,122,"PUTNAM GARDENS, LLC",,94,647351.9,2208765,38017,3801700.2,,,,,,,,,,6010465.2,6373580.7,47.7,50.6,10176327.3,10557598.5,80.8,83.8,358.4,2.8
B1745,2021,106-124,Non-Residential,Retail Store,"Fitness Center/Health Club/Gym, Office, Retail Store",38500,,CIFRINO-MASSACHUSETTS AVENUE,REALTY LLC.,82,282377,963470.3,12611.9996,1261200,,,,,,,,,,2224670.3,2318692.8,57.8,60.2,4021976.9,4120700.6,104.5,107,130.2,3.4
B1749,2021,185-59,Non-Residential,K-12 School,K-12 School (90000.0),90000,,"ECOLE BILINGUE, INC. &",,93,80069,273195.4,40468,4046800,,,,,,,,,,4319995.4,4817071.6,48,53.5,5014087.2,5536017.1,55.7,61.5,234.3,2.6
B1752,2021,185-59,Non-Residential,K-12 School,K-12 School (5700.0),5700,,"ECOLE BILINGUE, INC. &",,76,27020,92192.2,1901,190100,,,,,,,,,,282292.2,308503.5,49.5,54.1,457743.3,486924.4,80.3,85.4,16.6,2.9
B1754,2021,66-153,Non-Residential,Laboratory,Laboratory,191904,,"BMR-200 SIDNEY STREET LLC,",,,7263671.9,24783651.6,180310.8,18031083.9,,,,,,,,,,42814735.4,43228137.5,223.1,225.3,88326862.4,88155725.5,460.3,459.4,2713.7,14.1
B1755,2021,63-132,Non-Residential,Laboratory,Laboratory,52520,,"BMR-325 VASSAR STREET LLC,",C/O RYAN LLC,,2295528.5,7832344.2,88538.7,8853866.4,,,,,,,,,,16686210.7,17426083.4,317.7,331.8,31227123.7,31696350.7,594.6,603.5,1025.2,19.5
B1756,2021,31-15,Non-Residential,Laboratory,Laboratory,195198,,"MBA-ROGERS STREET, LLC",C/O RYAN LLC,,3782081.9,12904465,363432,36343199.6,,,,,,,,,,49247664.6,52355144.6,252.3,268.2,74292861.6,77555715.6,380.6,397.3,2844.7,14.6
B1757,2021,68-76,Non-Residential,Laboratory,Laboratory (214638.0),214638,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,11524790.3,39322589.3,595820,59582002.5,,,,,,,,,,98904591.8,100033688,460.8,466.1,172664352.7,171302184.5,804.4,798.1,5950.7,27.7
B1758,2021,179-87,Non-Residential,Retail Store,Other - Mall,175898,,PORTER SQUARE LLC,,,4083336.2,13932344.9,,,,,,,,,,,,,,,,,,,,,
B1762,2021,92-127,Non-Residential,Laboratory,"Office (83100.0),Laboratory (193900.0)",277000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,10095958.2,34447413.4,441158.6,44115855.8,,,,,,,,,,78563269.2,79618571.2,283.6,287.4,142774406.2,142270235,515.4,513.6,4783.9,17.3
B1763,2021,69-173,Non-Residential,Laboratory,"Laboratory,Office",126000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,5586009.8,19059467.9,140735.9,14073587.2,,,,,,,,,,33133055.1,33848464.7,263,268.6,68143776.7,68291607.9,540.8,542,2097.9,16.7
B1764,2021,69-62,Non-Residential,Parking,Parking,240000,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,623135.9,2126140.1,,,,,,,,,,,,2126140.1,2202654.3,8.9,9.2,5953192.2,6167432.2,24.8,25.7,150.6,0.6
B1765,2021,69-183,Non-Residential,Laboratory,"Laboratory,Office",145275,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,OFFICE OF THE TREASURER,,5200957.3,17745668.6,176040.9,17604086.7,,,,,,,,,,35349755.3,36003547.6,243.3,247.8,68172163.2,68346335.8,469.3,470.5,2192.3,15.1
B1766,2021,66-153,Non-Residential,Laboratory,Laboratory (100854.0),100854,,"BMR-200 SIDNEY STREET LLC,",,,4097788.9,13981657.5,143952.7,14395267.9,,,,,,,,,,28376925.4,28833452.6,281.4,285.9,54263672.2,54167786.8,538,537.1,1755.2,17.4
B1767,2021,54-19,Non-Residential,Laboratory,Laboratory,73347,,"BMR-270 ALBANY STREET LLC,",,,3467926.1,11832565.2,148525.4,14852542.1,,,,,,,,,,26685107.2,27457268.5,363.8,374.3,48726351.6,48910822.8,664.3,666.8,1627.2,22.2
B1768,2021,54-19,Non-Residential,Laboratory,Laboratory,1656,,"BMR-270 ALBANY STREET LLC,",,,57183.1,195108.6,757.5,75754.8,,,,,,,,,,270863.5,281317.5,163.6,169.9,625846.7,636823.5,377.9,384.6,17.8,10.8
B1770,2021,35-89,Non-Residential,Medical Office,Medical Office (25000.0),24573,,THE JAVNA FAMILY LIMITED PARTNERSHIP,,3,582758.3,1988371.4,35422.1,3542209.5,,,,,,,,,,5530581,5674887.7,221.2,227,9286760,9329680.5,371.5,373.2,329,13.2
B1771,2021,69-182,Non-Residential,Laboratory,Laboratory,122410,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,6405563.2,21855784.4,230785,23078498.5,,,,,,,,,,44934282.9,44012435.5,367.1,359.5,85428619.8,82847446.9,697.9,676.8,2774.3,22.7
B1776,2021,165-57,Non-Residential,Office,Office (65107.0),65107,,CONDUCTOR'S BUILDING LLC,,,,,,,,,,,,,,,,,,,,,,,,,
B1777,2021,147-46,Non-Residential,,,,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,
B1778,2021,147-46,Non-Residential,,,,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,
B1779,2021,19-23,Non-Residential,,,,,"MIDDLESEX, COUNTY OF",,,,,,,,,,,,,,,,,,,,,,,,,
B1780,2021,19-23,Non-Residential,,,,,"MIDDLESEX, COUNTY OF",,,,,,,,,,,,,,,,,,,,,,,,,
B1783,2021,269-131,Non-Residential,,,290000,,IQHQ-ALEWIFE LLC,,,4525625.4,,,,,,,,,,,,,,,,,,,,,,
B1784,2021,267C-95,Non-Residential,,,,,CCF SMITH PLACE PROPERTY COMPANY LLC,,,,,,,,,,,,,,,,,,,,,,,,,
B1785,2021,267C-95,Non-Residential,,,,,CCF SMITH PLACE PROPERTY COMPANY LLC,,,,,,,,,,,,,,,,,,,,,,,,,
B1786,2021,52A-21,Non-Residential,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
B1787,2021,55-9,Non-Residential,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
B1788,2021,57-173,Non-Residential,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
B1789,2021,90-133,Non-Residential,,,,,"3MJ ASSOCIATES, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
B1803,2021,128-30,Non-Residential,Multifamily Housing,Multifamily Housing (148317.0),148317,89,808-812 MEMORIAL DRIVE II LLC,,61,1265574.7,4318141.6,51526.6,5152663.4,,,,,,,,,,9470805,9830466.3,63.9,66.3,17501093,17878737.4,118,120.5,579.6,3.9
B1805,2021,267D-294,Non-Residential,Mixed Use Property,"Office (25823.0),Parking (23691.0),Other (28103.0)",53926,,"CAMBRIDGE HIGHLANDS,LLC",C/O TRINITY PROPERTY MGMT,,622867,2125222.6,18490.1,1849009.9,,,,,,,,,,3974232.5,4160290.9,73.7,77.1,7892083.6,8031659.6,146.4,148.9,248.8,4.6
B1806,2021,169-4,Non-Residential,Worship Facility,"Worship Facility (27342.0),Parking (1500.0)",27342,,CHRIST CHURCH OF CAMBRIDGE,C/O TREASURER,66,49501.9,168900.6,10753.1,1075306.5,,,,,,,,,63666.8,1413107.7,1538573.2,51.7,56.3,1770894.1,1902632.9,64.8,69.6,69.1,2.5
B1807,2021,18-74,Non-Residential,Office,Office (252662.0),252662,,"DAVENPORT OWNER (DE) LLC,",C/O  OXFORD PROPERTIES GROUP,83,2510779.1,8566779.3,27976.5,2797652.8,,,,,,,,,,11364432.2,11732477.7,45,46.4,26924517.7,27310965.5,106.6,108.1,755.6,3
B1808,2021,134-2,Non-Residential,,,,,OLD CAMBRIDGE BAPTIST CHURCH,,,,,,,,,,,,,,,,,,,,,,,,,
B1809,2021,90-14,Non-Residential,Office,"Office (26070.0),Parking (150.0)",26070,,"BURCOMBE, LLC",,90,190824,651091.6,11,1100,,,,,,,,,,652191.6,664470.6,25,25.5,1824211.4,1858592.7,70,71.3,46.2,1.8
B1810,2021,52A-31,Non-Residential,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
B1811,2021,52A-31,Non-Residential,,,,,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
B1812,2021,160-57,Non-Residential,Strip Mall,Strip Mall (65336.0),65336,,HARVARD COLLECTION LLC,"C/O EQUITY ONE, INC. ATTN: CONTROLLER",,11859,40462.9,,,,,,,,,,,,40462.9,,0.6,,113296.1,,1.7,,4.6,0.1
B1813,2021,Aug-76,Non-Residential,,,105721,,"ONE CANAL PARK MASSACHUSETTS, LLC,",C/O US REALTY ESTATE INVESTMENT,,1576983.8,,,,,,,,,,,,,,,,,,,,,,
B1814,2021,41-37,Non-Residential,Laboratory,Laboratory (349767.0),349767,,AMGEN CAMBRIDGE REAL ESTATE,"HOLDINGS, INC.",,15709113.8,53599502.8,,,,,,,,,,85154577.5,,138754080.3,143132116.4,396.7,409.2,252523064.1,254248265.7,722,726.9,9451.7,27
B1815,2021,168-33,Non-Residential,Other,"Movie Theater (4895.0),Other (7308.0)",12203,,40 BRATTLE,,,,,6342.8,634278.5,,,,,,,,,,924878.7,,75.8,,1479672.9,,121.3,,54.7,4.5
B1816,2021,91-118,Non-Residential,Bank Branch,"Bank Branch (46350.0),Parking (22556.0)",46350,,"PARTEEN, LLC","C/O MINTZ LEVIN, COHN, FERRIS, GLOVSKY",,,,,,,,,,,,,,,,,,,,,,,,
B1817,2021,116-43,Non-Residential,Residential Care Facility,Residential Care Facility (31179.0),31179,,"CRNC REALTY, LLC",,,247845.1,845647.7,18496.7,1849667.4,,,,,,,,,,2695315.1,2800783.1,86.4,89.8,4309964.3,4361793.1,138.2,139.9,158.2,5.1
B1820,2021,119-22,Non-Residential,Other,Other (114693.0),114693,,CAMBRIDGE FAMILY YMCA AFFORDABLE,,,637986.7,2176811,33033.5,3303354.8,,,,,,,,,,5480165.8,5866654.9,47.8,51.2,9563593.2,9876800.5,83.4,86.1,332.9,2.9
B1821,2021,267.2-264,Non-Residential,Hotel,"Hotel (84930.0),Swimming Pool (0.0)",84930,,SXC ALEWIFE HOTEL LLC,,95,873596.8,2980712.5,18531.6,1853158,,,,,,,,,,4833870.5,4956207.5,56.9,58.4,10291810.9,10420264.8,121.2,122.7,309.6,3.6
B1822,2021,160-59,Non-Residential,Mixed Use Property,"Restaurant (5777.0),Office (18497.0),Medical Office (3942.0),Retail Store (2168.0)",30384,,DANA CHAMBERS ALLIANCE,,,391327.7,1335210.3,21918.6,2191855.7,,,,,,,,,,3527066.1,3682082.1,116.1,121.2,6040037.5,6202804.3,198.8,204.1,211,6.9
B1824,2021,265B-59,Non-Residential,Office,"Office (64000.0),Parking (25000.0)",64000,,"ALEWIFE PROPERTIES, LLC",,39,1344081.1,4586005.2,35612.3,3561227.5,,,,,,,,,,8147232.7,8441594.5,127.3,131.9,16580103.4,16657645.3,259.1,260.3,514.1,8
B1825,2021,134-56,Non-Residential,Multifamily Housing,"Multifamily Housing (91819.0),Parking (33000.0),Other (30478.0)",122297,94,"1105B, LLC",,32,1467890.6,5008443.4,40140.7,4014067.5,,,,,,,,,,9022510.9,9388941.6,73.8,76.8,18238412.5,18810498.5,149.1,153.8,568.1,4.6
B1829,2021,107-135,Non-Residential,Office,Office,34973,,THE UNITARIAN UNIVERSALIST,"SERVICE COMMITTEE, INC.",90,218791.1,746515.2,6709.7278,670972.8,,,,,,,,,,1417488,1510251.6,40.5,43.2,2794764,2892165.8,79.9,82.7,84.6,2.4
B1834,2021,107-138,Non-Residential,Mixed Use Property,"Office (33891.0),Multifamily Housing (50849.0)",50849,103,CAMBRIDGE YOUNG WOMENS,CHRISTIAN ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,,,
B1836,2021,1A-201,Non-Residential,Laboratory,Laboratory (N/A),500000,,"DW NP PROPERTY, LLC",C/O DIVCOWEST,,,,,,,,,,,,,,,,,,,,,,,0,
B1837,2021,1A-200,Non-Residential,,,,,"DW NP PROPERTY, LLC",C/O DIVCOWEST,,,,,,,,,,,,,,,,,,,,,,,,
B1838,2021,37-126,Non-Residential,Worship Facility,"Worship Facility (27655.0),Parking (10000.0)",27655,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,44,71900,245322.8,9823.4,982342.4,,,,,,,,,,1227665.2,1354164,44.4,49,1718363.4,1851187.1,62.1,66.9,69.6,2.5
B1839,2021,34-111,Non-Residential,,,,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,,,,,,,,,,,,,,,,,,,,,,,,
B1840,2021,34-110,Non-Residential,,,,,ROMAN CATHOLIC ARCHBISHOP OF BOSTON,CORPORATION SOLE,,,,,,,,,,,,,,,,,,,,,,,,
B1842,2021,31-20,Non-Residential,,,,,"ARE-MA REGION NO. 61, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
B1847,2021,44-99,Non-Residential,Office,"Office (N/A),Retail Store (N/A)",472512,,"ZUCKERMAN, MORTIMER B., EDWARD H. LINDE","& DAVID BARRETT, TRS. OF THREE CAMBRIDGE",,,,,,,,,,,,,,,,,,,,,,,0,
B1848,2021,29-39,Non-Residential,,,,,UNITED STATES OF AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,
B1850,2021,32-52,Non-Residential,,,,,NSTAR ELECTRIC CO. D/B/A,EVERSOURCE ENERGY,,,,,,,,,,,,,,,,,,,,,,,,
B1852,2021,1A-184,Non-Residential,,,,,COMMONWEALTH OF MASSACHUSETTS,PUBLIC WORKS DEPT.,,,,,,,,,,,,,,,,,,,,,,,,
B1853,2021,24-123,Non-Residential,,,,,MIDDLESEX COUNTY OF,,,,,,,,,,,,,,,,,,,,,,,,,
B1854,2021,19-24,Non-Residential,,,,,MIDDLESEX COUNTY OF,,,,,,,,,,,,,,,,,,,,,,,,,
B1855,2021,19-22,Non-Residential,,,,,LMP GP HOLDINGS LLC,C/O LEGGAT MCCALL HOLDINGS PROP LLC,,,,,,,,,,,,,,,,,,,,,,,,
B1856,2021,165-34,Non-Residential,Hotel,Hotel (29583.0),29583,,PRESIDENT & FELLOWS OF HARVARD COLLEGE,C/O HARVARD REAL ESTATE INC.,61,254584,868640.6,13108,1310800,,,,,,,,,,2179440.6,2272194,73.7,76.8,3808533.7,3842457.9,128.7,129.9,131.2,4.4
B1859,2021,128-72,Non-Residential,,,,,ACADIA CAMBRIDGE LLC,,,,,,,,,,,,,,,,,,,,,,,,,
B1860,2021,11-144,Non-Residential,,,293524,,"CHARLES PARK TWO, LLC,",C/O JONES LANG LASALLE,,5156318.5,,,,,,,,,,,,,,,,,,,,,,
B1861,2021,106-103,Non-Residential,,,,,"ROTHMAN, GEORGE & ETHEL ROTHMAN,",C/O FIRST CAMBRIDGE REALTY,,,,,,,,,,,,,,,,,,,,,,,,
